timestep,episode_return,episode_mean
5200,-347.35296630859375,-6.947059154510498
5250,-284.8541564941406,-5.697082996368408
5300,-314.8797302246094,-6.2975945472717285
5350,-277.670166015625,-5.553403377532959
5400,-324.6826477050781,-6.493652820587158
5450,-259.73907470703125,-5.194781303405762
5500,-264.9176940917969,-5.298353672027588
5550,-309.1283874511719,-6.182567596435547
5600,-354.24261474609375,-7.08485221862793
5650,-299.6551208496094,-5.993102550506592
5700,-352.8804931640625,-7.057610034942627
5750,-304.6688537597656,-6.093377113342285
5800,-290.8345947265625,-5.816691875457764
5850,-309.90020751953125,-6.198004245758057
5900,-320.1621398925781,-6.403242588043213
5950,-268.5218811035156,-5.3704376220703125
6000,-292.97027587890625,-5.859405517578125
6050,-308.5783386230469,-6.171566963195801
6100,-322.2186279296875,-6.444372653961182
6150,-275.7030334472656,-5.5140604972839355
6200,-311.35455322265625,-6.227090835571289
6250,-281.7746887207031,-5.635493755340576
6300,-302.68695068359375,-6.053739070892334
6350,-280.0174560546875,-5.600348949432373
6400,-300.2835998535156,-6.005671977996826
6450,-230.29144287109375,-4.605828762054443
6500,-302.8245849609375,-6.056491851806641
6550,-263.0166015625,-5.260332107543945
6600,-313.07757568359375,-6.261551380157471
6650,-282.028564453125,-5.640571117401123
6700,-283.5080871582031,-5.670161724090576
6750,-243.55621337890625,-4.871124267578125
6800,-263.52191162109375,-5.270438194274902
6850,-249.01852416992188,-4.98037052154541
6900,-298.1451721191406,-5.9629034996032715
6950,-253.59628295898438,-5.071925640106201
7000,-216.6330108642578,-4.33266019821167
7050,-301.077880859375,-6.021557807922363
7100,-304.7506103515625,-6.095012187957764
7150,-259.3707580566406,-5.18741512298584
7200,-236.6181640625,-4.732363224029541
7250,-278.9547119140625,-5.579094409942627
7300,-272.2882385253906,-5.445764541625977
7350,-245.64295959472656,-4.912858963012695
7400,-257.5128479003906,-5.150257110595703
7450,-277.3802795410156,-5.547605514526367
7500,-240.0401153564453,-4.800802230834961
7550,-262.8573303222656,-5.257146835327148
7600,-236.603271484375,-4.732065200805664
7650,-279.6573486328125,-5.593146800994873
7700,-276.81488037109375,-5.536297798156738
7750,-231.2283935546875,-4.624567985534668
7800,-246.25506591796875,-4.925101280212402
7850,-282.3629455566406,-5.647258758544922
7900,-252.7802276611328,-5.055604457855225
7950,-237.4873046875,-4.749746322631836
8000,-251.46682739257812,-5.029336452484131
8050,-236.7823944091797,-4.735647678375244
8100,-252.197509765625,-5.043950080871582
8150,-275.0649719238281,-5.5012993812561035
8200,-216.91590881347656,-4.338318347930908
8250,-216.6787872314453,-4.33357572555542
8300,-235.8058319091797,-4.716116428375244
8350,-240.08737182617188,-4.8017473220825195
8400,-228.7439727783203,-4.5748796463012695
8450,-256.5747375488281,-5.131494522094727
8500,-240.18634033203125,-4.803726673126221
8550,-228.40855407714844,-4.56817102432251
8600,-240.1536407470703,-4.803072929382324
8650,-199.38204956054688,-3.9876410961151123
8700,-226.10316467285156,-4.522063255310059
8750,-221.0130615234375,-4.420261383056641
8800,-218.5298309326172,-4.370596408843994
8850,-216.84271240234375,-4.336854457855225
8900,-207.71815490722656,-4.15436315536499
8950,-217.99465942382812,-4.359893321990967
9000,-221.25619506835938,-4.425123691558838
9050,-222.29428100585938,-4.44588565826416
9100,-212.1367950439453,-4.242735862731934
9150,-202.080078125,-4.041601657867432
9200,-230.17576599121094,-4.603515148162842
9250,-222.10740661621094,-4.442148208618164
9300,-233.2249755859375,-4.664499282836914
9350,-193.59405517578125,-3.8718810081481934
9400,-238.7122039794922,-4.77424430847168
9450,-216.2243194580078,-4.324486255645752
9500,-213.06747436523438,-4.261349678039551
9550,-204.9923858642578,-4.099847793579102
9600,-228.87100219726562,-4.577420234680176
9650,-212.88951110839844,-4.2577900886535645
9700,-223.00584411621094,-4.460116863250732
9750,-206.6494140625,-4.132988452911377
9800,-238.5027313232422,-4.770054817199707
9850,-214.38665771484375,-4.28773307800293
9900,-207.7061767578125,-4.154123306274414
9950,-185.34844970703125,-3.7069690227508545
10000,-220.82676696777344,-4.416535377502441
