Algorithm,EpisodeLength,LearningRate,BatchSize,EntCoef,RewardType,MAE,MSE,RMSE,AvgReward,ConvergenceRate
PPO,100,0.0003,256,0.0,abs,1.7942225933074951,5.077122211456299,2.253247037378791,-1.7942224861609903,0.00292640402508072
PPO,200,0.0003,256,0.0,abs,1.7980948686599731,5.087564468383789,2.255563004747105,-1.798094878488248,0.0038463538198504786
PPO,300,0.0003,256,0.0,abs,1.8992692232131958,5.672667026519775,2.381736137047884,-1.8992690529611922,0.005047903427527183
PPO,400,0.0003,256,0.0,abs,1.7663376331329346,4.933038234710693,2.2210444017872972,-1.7663376353774014,0.002930071517584929
TD3,50,0.0003,256,,abs,1.9592797756195068,6.073891639709473,2.46452665631952,-1.9592797651515237,0.0023554788153921733
TD3,100,0.0003,256,,abs,3.7997913360595703,20.848812103271484,4.566049945332561,-3.7997913594936485,0.03633098723473607
TD3,200,0.0003,256,,abs,3.4395718574523926,17.131786346435547,4.139056214457053,-3.439572148537524,0.02644962040977119
TD3,300,0.0003,256,,abs,2.1051559448242188,7.055652618408203,2.6562478458171412,-2.105155822213582,0.005001057926404453
TD3,400,0.0003,256,,abs,1.8633475303649902,5.6063432693481445,2.367771794187131,-1.8633475979256355,0.0021763674263785117
DDPG,50,0.0003,256,,abs,1.991001009941101,6.354410648345947,2.520795637957577,-1.9910009552299297,-0.0030276160477475276
DDPG,100,0.0003,256,,abs,3.5036966800689697,17.337862014770508,4.163875840460484,-3.5036967983024367,0.020917963313794002
DDPG,200,0.0003,256,,abs,2.0471065044403076,6.7365403175354,2.5954846016756488,-2.047106667276886,0.007769810683403855
DDPG,300,0.0003,256,,abs,3.164891004562378,14.546448707580566,3.813980690509663,-3.164890968832735,0.014103938162799236
DDPG,400,0.0003,256,,abs,5.478416919708252,40.46687316894531,6.361357808592857,-5.478417294497063,0.05408358595615029

SAC,100,0.0003,256,auto,abs,2.048079252243042,6.69772481918335,2.5879962942754284,-2.0480792371006866,-0.0015022101137242827
SAC,100,0.0003,256,auto,squared,2.033356189727783,6.4540696144104,2.540486098054937,-6.454069355859674,0.01098392747922258
SAC,100,0.0003,256,auto,exp,2.859541654586792,11.961444854736328,3.458532182116617,-205.34854506650308,2.981221386939128
PPO,100,0.0003,256,0.0,abs,1.8053438663482666,5.0910868644714355,2.2563436937823624,-1.8053437282424243,0.0030271074141297706
PPO,100,0.0003,256,0.0,squared,1.8512898683547974,5.359217166900635,2.314998308185264,-5.359217229732256,0.007924175200365653
